Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,Lmpry,BTrout,TempC
Lower Granite,2011-03-01,,,,19,1,,,,,,,
Lower Granite,2011-03-02,,,,13,5,,,,,,,
Lower Granite,2011-03-03,,,,20,4,,,,,,,
Lower Granite,2011-03-04,,,,50,13,,,,,,,
Lower Granite,2011-03-05,,,,67,24,,,,,,,
Lower Granite,2011-03-06,,,,110,40,,,,,,,
Lower Granite,2011-03-07,,,,126,34,,,,,,,
Lower Granite,2011-03-08,,,,77,22,,,,,,,
Lower Granite,2011-03-09,,,,86,21,,,,,,,
Lower Granite,2011-03-10,,,,83,29,,,,,,,
Lower Granite,2011-03-11,,,,91,26,,,,,,,
Lower Granite,2011-03-12,,,,96,29,,,,,,,
Lower Granite,2011-03-13,,,,189,56,,,,,,,
Lower Granite,2011-03-14,,,,229,58,,,,,,,
Lower Granite,2011-03-15,,,,179,49,,,,,,,5.4
Lower Granite,2011-03-16,,,,147,42,,,,,,,5.6
Lower Granite,2011-03-17,Sp,,,283,69,,,,,,,5.8
Lower Granite,2011-03-18,Sp,,,271,71,,,,,,,5.8
Lower Granite,2011-03-19,Sp,,,288,106,,,,,,,5.8
Lower Granite,2011-03-20,Sp,,,182,61,,,,,,,5.9
Lower Granite,2011-03-21,Sp,,,167,60,,,,,,,6.1
Lower Granite,2011-03-22,Sp,,,105,38,,,,,,,6.1
Lower Granite,2011-03-23,Sp,,,111,46,,,,,,,6
Lower Granite,2011-03-24,Sp,,,202,77,,,,,,,6.3
Lower Granite,2011-03-25,Sp,,,254,102,,,,,,,6.7
Lower Granite,2011-03-26,Sp,,,273,86,,,,,,,6.9
Lower Granite,2011-03-27,Sp,,,324,122,,,,,,,7.1
Lower Granite,2011-03-28,Sp,,,240,91,,,,,,,7.2
Lower Granite,2011-03-29,Sp,,,173,67,,,,,,,7.3
Lower Granite,2011-03-30,Sp,,,256,117,,,,,,,7.5
Lower Granite,2011-03-31,Sp,,,306,136,,,,,,,7.4
Lower Granite,2011-04-01,Sp,,,488,223,,,,,,,7.3
Lower Granite,2011-04-02,Sp,,,538,240,,,,,,,7.3
Lower Granite,2011-04-03,Sp,1,,547,241,,,,,,,7.5
Lower Granite,2011-04-04,Sp,,,211,85,,,,,,,7.1
Lower Granite,2011-04-05,Sp,1,,198,102,,,,,,,6.8
Lower Granite,2011-04-06,Sp,1,,164,68,,,,,,,6.9
Lower Granite,2011-04-07,Sp,1,,200,97,,,,,,,7
Lower Granite,2011-04-08,Sp,1,,282,155,,,,,,,6.8
Lower Granite,2011-04-09,Sp,1,,414,206,,,,,,,6.9
Lower Granite,2011-04-10,Sp,,,358,196,,,,,,,7.3
Lower Granite,2011-04-11,Sp,,,331,169,,,,,,,7.8
Lower Granite,2011-04-12,Sp,1,,279,152,,,,,,,8
Lower Granite,2011-04-13,Sp,,,246,144,,,,,,,8.1
Lower Granite,2011-04-14,Sp,,,200,112,,,,,,,7.9
Lower Granite,2011-04-15,Sp,2,,182,100,,,,,,,8
