,sy2010sthdH,sy2010sthdHNC,sy2010sthdW,sy2011sthdH,sy2011sthdHNC,sy2011sthdW,sy2012sthdH,sy2012sthdHNC,sy2012sthdW,sy2013sthdH,sy2013sthdHNC,sy2013sthdW,sy2014sthdH,sy2014sthdHNC,sy2014sthdW,sy2015sthdH,sy2015sthdHNC,sy2015sthdW,sy2010chnkH,sy2010chnkHNC,sy2010chnkW,sy2011chnkH,sy2011chnkHNC,sy2011chnkW,sy2012chnkH,sy2012chnkHNC,sy2012chnkW,sy2013chnkH,sy2013chnkHNC,sy2013chnkW,sy2014chnkH,sy2014chnkHNC,sy2014chnkW,sy2015chnkH,sy2015chnkHNC,sy2015chnkW
25,246901,33208,43273,141958,22167,44171,131014,9979,39327,77452,9000,22734,76313,6852,24989,109128,9933,46530,100488,6667,27529,102257,5569,26768,58896,4637,21238,45346,6890,18730,74570,9896,30208,98986,9716,23730
26,248283,31867,43231,142346,22707,43243,130513,10009,39798,77070,8963,23153,75475,6638,26041,110562,9356,45674,99152,7142,28390,102126,5518,26950,58726,4753,21292,45728,6557,18681,74661,10432,29579,98734,10180,23517
27,247512,33178,42693,141789,21638,44869,130654,10286,39380,77696,8389,23101,75640,7135,25379,111186,9441,44964,101195,6256,27234,102783,5382,26429,58775,4503,21493,45690,6043,19232,73656,10301,30715,98720,10773,22939
28,248079,32724,42579,142289,22193,43814,131003,10078,39238,76972,8862,23352,75660,6799,25695,110886,9359,45346,100324,6019,28341,102828,5438,26328,58784,4723,21264,44860,6813,19293,74749,9910,30014,97723,10597,24112
29,247970,31860,43552,141559,22736,44001,131064,10234,39022,77229,8381,23576,75578,7201,25375,111066,9210,45316,99838,6583,28264,102349,5563,26682,58812,4185,21775,45898,6224,18845,74212,9891,30570,98919,9888,23625
30,246955,32969,43458,141941,22175,44180,130859,9980,39481,77757,8104,23326,76473,7067,24615,109991,9340,46261,99889,6451,28343,103057,5507,26030,59552,4204,21015,45517,6196,19253,73203,10416,31053,98227,9988,24217
31,247119,33282,42981,142214,21965,44117,130944,10319,39057,77341,8952,22894,75727,6982,25445,109812,9486,46293,101552,6340,26792,102783,5596,26215,59522,4229,21020,45565,6320,19081,74792,10272,29609,98980,9658,23794
32,248305,32258,42818,141615,22414,44266,130456,10314,39550,77096,8908,23182,74889,6980,26285,109996,9163,46432,99200,7433,28051,102468,4885,27241,58223,4382,22166,45386,6450,19130,74221,10013,30439,98353,10480,23599
33,247366,33133,42883,142173,21696,44428,130579,10414,39327,76748,9063,23375,76033,6441,25680,110403,9295,45893,100825,6215,27644,102530,5567,26497,58320,4645,21806,44978,6284,19703,73579,10625,30470,97894,10516,24022
34,247631,32403,43348,141370,22162,44763,130409,10297,39614,76944,8678,23564,76135,7129,24890,109856,9296,46438,98846,7178,28660,102907,5574,26113,58812,5019,20941,45900,6282,18784,74638,10305,29730,99780,9306,23346
35,247553,33627,42202,143600,20681,44015,131519,9625,39176,77696,8597,22893,75905,6974,25275,110200,9184,46206,100480,6512,27691,102378,5451,26764,58670,4903,21198,45288,6365,19313,73858,10653,30161,98236,10047,24149
36,247000,33323,43060,143580,21594,43121,130889,10595,38835,77870,8452,22864,74878,7400,25876,111793,9290,44508,99885,6940,27859,101764,5793,27037,58559,4689,21523,45324,6427,19215,73660,10007,31006,98583,10225,23624
