,sy2010sthdH,sy2010sthdHNC,sy2010sthdW,sy2011sthdH,sy2011sthdHNC,sy2011sthdW,sy2012sthdH,sy2012sthdHNC,sy2012sthdW,sy2013sthdH,sy2013sthdHNC,sy2013sthdW,sy2014sthdH,sy2014sthdHNC,sy2014sthdW,sy2015sthdH,sy2015sthdHNC,sy2015sthdW,sy2010chnkH,sy2010chnkHNC,sy2010chnkW,sy2011chnkH,sy2011chnkHNC,sy2011chnkW,sy2012chnkH,sy2012chnkHNC,sy2012chnkW,sy2013chnkH,sy2013chnkHNC,sy2013chnkW,sy2014chnkH,sy2014chnkHNC,sy2014chnkW,sy2015chnkH,sy2015chnkHNC,sy2015chnkW
1360,246305,34030,43047,143040,21484,43772,130345,10505,39470,77547,8860,22779,75970,6650,25534,109855,9822,45913,98181,7111,29392,102386,5743,26465,59013,4612,21147,45177,6488,19301,74200,10235,30238,99090,9925,23417
1361,247703,33849,41831,143582,20944,43770,130993,10418,38910,77726,8538,22922,75428,6970,25756,110708,9414,45468,101118,6466,27100,102496,5276,26823,58557,4785,21429,45247,6273,19445,73907,10129,30637,99083,9751,23599
1362,246456,33211,43716,142790,21786,43721,131882,10325,38113,77208,8755,23223,76540,6781,24834,110519,9435,45637,99090,7527,28067,102788,5552,26254,57939,4817,22014,45112,6472,19382,74188,9893,30592,98599,10404,23429
1363,249388,32322,41673,142086,21695,44514,131515,9724,39081,77394,8694,23098,75762,7303,25089,110569,9435,45587,100815,6262,27607,102268,5449,26877,58675,4389,21707,45185,6618,19163,74318,10017,30339,98458,10211,23762
1364,248157,32176,43050,142427,21923,43947,131457,9862,39001,77584,8423,23179,76020,6953,25181,110203,9309,46079,100168,7245,27271,101855,5702,27038,58287,5199,21286,45658,6343,18966,73441,10314,30917,98724,9507,24201
1365,247697,33163,42522,141675,21953,44668,130928,10057,39335,77983,8853,22351,75615,6834,25706,110388,9522,45681,101013,6254,27417,103264,5314,26016,58151,4628,21992,45204,6061,19701,73684,10531,30458,99760,10100,22573
1366,247322,33427,42632,143211,22009,43076,131982,9838,38499,77788,8473,22925,76222,6741,25191,110442,9281,45869,100384,7332,26967,102265,5845,26483,59445,4420,20906,45377,6598,18991,73759,10018,30896,99328,9871,23233
1367,247790,33309,42283,142039,22169,44088,130569,9887,39864,77250,8729,23206,75921,7303,24931,109945,9174,46472,99474,7222,27988,102982,5164,26448,58687,4513,21571,45176,6272,19518,74473,10281,29919,98229,10409,23794
1368,248149,32672,42561,142223,21340,44733,129824,10423,40073,77257,8873,23055,75790,6793,25571,109487,9632,46472,101315,7075,26293,103208,4935,26451,57814,4753,22204,45231,6280,19455,74296,10178,30198,98613,9822,23998
1369,246995,33465,42922,140894,22499,44902,131433,10196,38692,77334,8468,23384,75701,7155,25298,110054,9474,46064,100501,7552,26631,102567,5063,26964,59344,4638,20789,45662,6586,18717,73332,10642,30699,98754,10304,23374
1370,247592,33056,42735,142895,21635,43766,130564,9645,40111,77404,8644,23138,75462,7002,25690,109563,10283,45745,100595,7083,27006,102796,5283,26514,58782,4676,21313,44919,6692,19355,74488,9937,30248,99080,10252,23100
1371,248727,32428,42228,140605,22376,45315,130273,10196,39851,77553,8934,22699,75489,7062,25603,109430,9479,46682,100672,6921,27090,102479,5384,26732,58242,4628,21902,45392,6309,19265,74274,10358,30041,99341,10470,22620
1372,247493,32783,43106,141345,22271,44680,131207,10200,38913,76951,8881,23354,76418,6877,24859,110732,9400,45459,100575,6964,27145,102979,5629,25986,58535,4830,21406,45333,6294,19339,74166,10549,29959,98678,10216,23538
1373,248184,32605,42592,142375,21540,44381,132344,10212,37764,78036,8530,22620,75507,7080,25567,110642,9814,45135,99921,7554,27209,102507,5491,26596,58470,4793,21508,45126,6630,19210,73673,10279,30721,98867,9820,23745
1374,247451,33472,42459,141340,22404,44552,130016,10008,40296,78357,8128,22700,76162,6750,25243,110731,9174,45686,99922,6549,28212,102680,5611,26303,59199,4724,20848,45441,6286,19239,74876,10014,29783,99210,9999,23224
1375,246520,33276,43586,142005,22188,44103,131340,9649,39332,76770,8634,23782,74983,6782,26390,109313,9619,46659,100474,7151,27059,102531,5574,26489,58926,4750,21095,45485,6178,19303,74623,9644,30406,99036,9934,23462
1376,247191,33519,42672,142264,21794,44237,130819,10077,39423,77035,8646,23506,75910,6951,25292,110742,9054,45795,99344,7491,27849,102302,5529,26763,58852,4574,21346,45012,6244,19710,75116,10030,29527,98935,10297,23200
1377,249049,32511,41822,142785,21641,43870,131001,9706,39613,77548,8123,23516,76052,7062,25039,111197,9021,45373,100281,6741,27662,102070,5432,27091,57975,4677,22119,45550,6507,18908,73897,10785,29991,98676,10751,23005
1378,247835,32995,42552,142910,21964,43422,130770,9993,39557,76927,8833,23426,75849,6994,25312,110430,9021,46140,99572,7353,27759,102422,5357,26815,58562,4539,21670,45184,6508,19274,74074,10198,30401,98267,9617,24548
1379,248209,32856,42317,142124,21297,44874,131593,9484,39243,77606,8797,22783,75389,7039,25726,109496,9280,46815,99420,6908,28356,102517,5327,26749,58944,4286,21541,45381,6440,19145,74216,10041,30416,98869,9787,23776
1380,248567,31757,43058,140896,22418,44982,130469,10162,39688,76954,8736,23495,75722,7217,25215,110667,9009,45915,99716,6489,28479,102945,5790,25860,58490,4426,21856,45564,5951,19452,74493,10400,29780,98336,10427,23669
1381,248166,32692,42524,141343,22033,44919,130516,9975,39829,76655,9033,23499,75531,7491,25132,109475,9418,46698,99424,6732,28527,102535,5668,26391,58511,4318,21942,45492,5947,19527,73808,10390,30475,99250,10038,23144
1382,247641,33435,42307,142484,21958,43854,131167,10191,38962,77327,8806,23053,76559,6926,24669,110524,9116,45951,98846,7681,28156,102410,5389,26795,58879,4363,21529,45481,6235,19250,73743,10300,30630,98184,10233,24015
1383,246317,34029,43037,141787,22410,44099,131892,9012,39415,76353,8601,24232,76218,6433,25502,111113,9625,44853,98731,7176,28777,103468,5301,25825,59079,4732,20960,45218,6322,19426,74745,10278,29651,97963,10155,24314
1384,247525,33266,42591,142786,21717,43794,130289,10506,39526,77468,8749,22969,75504,7006,25643,111582,9555,44453,100262,7531,26891,102124,5453,27017,58831,4848,21092,45345,6599,19022,74636,10322,29715,98902,9944,23585
1385,247907,32603,42872,142776,21929,43592,131168,10137,39015,77443,8742,23001,75887,6941,25326,109738,9409,46444,99970,7333,27381,102068,5498,27028,58180,4558,22033,45222,6438,19307,73439,10389,30845,99264,9747,23422
1386,248094,32619,42668,142498,21989,43810,130606,10463,39251,77038,8718,23430,75940,6790,25424,110627,9713,45251,100061,7056,27567,101984,5558,27052,59149,4621,21002,45155,6477,19334,73860,10392,30421,98980,10356,23096
1387,247230,33201,42951,142074,22027,44195,130644,10588,39088,77478,8714,22994,75047,7265,25843,110843,9199,45550,98879,7486,28319,102260,5125,27209,57518,4909,22344,45244,6290,19432,74131,10883,29660,98436,10520,23476
1388,247157,33668,42557,141675,21765,44855,131255,9551,39514,76872,8998,23315,76281,6768,25104,109374,9156,47061,100307,6887,27491,102751,5156,26687,58070,4799,21902,45385,6450,19131,74299,10624,29750,98222,10047,24163
1389,245880,33927,43575,142539,22108,43649,130579,10046,39695,77128,8753,23305,76745,6616,24793,109514,9087,46990,99569,7595,27520,101399,5640,27555,59014,4757,21000,45447,6012,19507,73732,10776,30165,98410,10707,23314
1390,246681,33138,43563,143281,21723,43292,130771,9700,39850,77661,8505,23020,76330,6933,24891,110380,9238,45972,99734,7096,27854,102207,5780,26607,58620,4732,21419,45154,6763,19049,73574,10454,30646,99249,10297,22886
1391,246914,33690,42778,142752,22442,43103,130648,10068,39604,76992,8922,23272,77573,6631,23949,110892,9364,45334,99400,6694,28591,102892,5285,26417,58583,4772,21416,44961,6743,19262,74572,10019,30081,98793,9595,24043
1392,247914,32333,43136,142483,22240,43572,131183,9792,39345,77078,8813,23295,76066,6939,25149,110402,9495,45694,100774,6721,27189,101712,5814,27068,58630,4391,21750,44799,6462,19705,74524,9736,30413,98682,10249,23501
1393,248001,32672,42708,142909,21385,44002,129890,9942,40488,76971,8735,23480,76587,6344,25224,108775,9645,47170,99432,7422,27831,102703,5521,26371,58369,4495,21907,45004,6783,19179,74084,9968,30621,98873,10186,23373
1394,247421,33276,42685,142633,21482,44181,131281,9899,39141,77428,8953,22805,75337,6808,26009,110958,9088,45545,100536,7099,27049,102128,5650,26816,58398,4392,21981,45186,6710,19070,73423,9901,31349,98789,10351,23292
1395,247432,32569,43381,142073,21551,44673,130926,10158,39236,77741,8857,22588,76394,6995,24766,110730,9276,45585,99813,6681,28190,102592,5418,26585,58315,4604,21852,45330,6120,19516,74307,9581,30785,98749,10360,23323
1396,247093,33270,43018,143053,21488,43755,130712,10825,38782,76564,8579,24044,75584,6707,25863,109327,9424,46841,99552,6968,28164,102930,5780,25884,58438,4889,21444,45334,6485,19147,73150,10082,31441,98555,10019,23858
1397,247161,33562,42659,143000,21210,44086,130878,9903,39538,77378,8542,23266,76048,6826,25280,109937,9216,46438,100353,6317,28014,102406,4956,27232,58460,4333,21977,44915,6649,19402,73436,10703,30534,98580,10474,23378
1398,247305,33686,42391,142735,21583,43979,129803,9944,40572,77654,8907,22625,75867,6823,25464,111283,9562,44746,99692,6760,28232,102287,5638,26669,58847,4859,21065,45214,6555,19197,73701,10534,30438,98611,10758,23063
1399,246746,33296,43339,141368,21895,45033,131465,10000,38855,78068,8593,22525,76132,7392,24630,110669,9356,45566,100199,6288,28197,102773,5266,26555,58308,4627,21837,45416,6247,19303,73946,10487,30240,98017,9884,24532
1400,247923,32797,42662,142114,22207,43975,130738,9669,39913,76905,9196,23085,75102,7284,25768,110139,9547,45905,99393,7768,27522,102581,5969,26044,58597,4876,21298,45325,5888,19753,73971,10200,30502,99316,9776,23340
1401,246500,34406,42476,141502,22229,44565,131710,9993,38617,76600,9549,23037,75688,7190,25276,110095,9520,45975,99898,7114,27673,102745,5402,26447,58727,4277,21766,45352,6471,19143,74439,10018,30217,98874,10126,23431
1402,246957,33378,43048,142146,21559,44591,131446,10053,38821,77745,8337,23105,76232,6787,25135,110805,9607,45179,99898,7796,26990,102690,5808,26096,57818,4616,22338,45786,6314,18866,73944,10254,30475,99908,10544,21981
1403,246276,32857,44249,143627,21825,42844,131713,9718,38888,76828,8730,23628,76076,6855,25223,111467,9138,44986,99743,7886,27055,103135,5439,26020,58791,4584,21396,45500,6335,19131,74945,10012,29715,99202,10356,22874
1404,247655,32735,42992,141951,21624,44721,130497,9525,40298,77658,8643,22884,74935,7085,26134,109792,9139,46660,100166,7270,27248,102520,5312,26762,58462,4458,21852,45257,6459,19250,73788,10638,30247,98929,10027,23476
1405,248282,32939,42161,141765,22040,44491,130632,10180,39508,77786,8763,22637,76600,6301,25253,110243,9444,45905,99837,7185,27662,102947,5238,26409,58892,4635,21245,45307,6317,19341,74610,9743,30319,97851,10115,24466
1406,247569,32775,43038,142566,22167,43564,131293,9887,39140,76908,8806,23472,75175,7224,25756,110478,9344,45769,100444,7116,27124,102634,5325,26635,59056,4476,21238,45589,6430,18947,73941,10050,30682,99071,10275,23086
1407,247507,32486,43389,142715,21660,43921,130737,10367,39215,77499,9150,22537,75613,6593,25948,111081,9761,44748,100147,6701,27836,102664,5195,26735,58564,4362,21845,45668,6599,18698,74112,10627,29934,99374,9972,23086
1408,247664,33675,42043,140975,22172,45149,129871,10298,40152,77530,8648,23008,76335,6800,25018,109904,9257,46430,101804,6757,26123,102273,5290,27031,57878,4529,22365,45674,6472,18820,74351,10529,29793,99215,10548,22669
1409,247923,33356,42103,143165,21330,43802,130464,9905,39951,77247,8841,23097,75778,7229,25147,110409,9553,45629,100542,6845,27298,102154,5566,26874,57800,4855,22115,44876,6458,19632,75163,10069,29441,99693,10054,22685
1410,247899,31766,43718,141674,22257,44364,131321,9786,39213,76943,8900,23344,75048,6804,26302,111147,9304,45140,101611,6645,26429,102544,5261,26788,58862,4610,21299,45535,6591,18839,74196,9791,30686,99145,10893,22394
1411,246799,32474,44108,141626,21986,44684,130798,9928,39594,76661,8936,23588,75407,6486,26260,110495,9405,45691,99644,6751,28288,102504,5363,26726,58905,4183,21683,45212,6200,19553,74481,9933,30259,98730,9919,23783
1412,247507,33037,42839,141979,21707,44611,130629,10043,39648,77552,8719,22915,76418,6891,24845,109756,9644,46192,99445,7235,28004,102207,5673,26714,58186,4469,22117,45541,6067,19358,73804,10319,30550,98982,10237,23213
1413,247600,33202,42580,143216,22469,42611,131209,9810,39302,77376,8627,23183,76554,7107,24493,111453,8917,45221,99738,6694,28253,102544,5528,26522,58082,4882,21807,44880,6193,19893,73854,9966,30853,98059,10287,24086
1414,248117,32513,42753,142583,21267,44446,131406,10440,38474,77075,8674,23437,75543,7009,25602,110582,9189,45820,100998,7007,26679,102489,5486,26620,57986,4993,21791,45687,6015,19264,74269,10033,30371,99524,9941,22967
1415,247044,32648,43691,143014,20907,44375,131206,10079,39035,77461,8747,22979,75620,7395,25139,110950,9418,45222,100822,6718,27145,102753,5377,26464,58271,4468,22032,45418,6385,19163,73221,10305,31147,99505,9691,23236
1416,246345,33915,43122,142440,21335,44521,130821,10215,39283,77279,9017,22890,76555,7055,24544,110179,9064,46347,98692,7310,28682,102589,5511,26493,59010,4792,20969,45203,6476,19287,74052,10157,30464,98397,10134,23900
1417,247536,31872,43974,142600,22183,43513,129725,10511,40084,77188,8708,23290,76280,6889,24986,111096,9730,44764,100086,6930,27667,103510,5681,25404,58585,4229,21956,44923,6526,19517,74279,10248,30145,98795,10308,23329
1418,248205,32989,42189,142056,22395,43845,130227,10032,40060,77269,8903,23014,75445,7427,25282,110027,9763,45801,98046,7620,29018,102430,5333,26831,59156,4312,21303,45036,6076,19854,74810,10414,29449,98621,10671,23140
1419,247500,33636,42246,143437,20849,44010,130998,10095,39226,77062,8872,23252,75259,6844,26051,109641,9091,46859,99975,6785,27925,103537,5671,25387,59110,4452,21209,45343,6212,19411,74890,9816,29967,98375,9895,24162
1420,248104,32465,42813,141893,21343,45060,130263,10308,39749,77610,9020,22557,75721,6900,25533,109676,9412,46503,100573,7045,27066,103187,5106,26301,58126,4688,21957,45571,6286,19108,74645,9763,30265,98432,10894,23106
1421,248152,32883,42347,141871,22969,43456,131423,9642,39256,77200,8370,23616,75669,7107,25378,109826,10010,45755,100015,7069,27600,102677,5453,26463,58600,4816,21355,44865,6721,19380,73695,10578,30400,98472,10122,23838
1422,247677,33264,42441,142168,22313,43815,131573,10548,38199,77504,8576,23106,75750,6765,25639,110593,9723,45275,98914,6346,29424,102263,5531,26800,58363,4602,21806,45602,6247,19117,73992,10324,30356,99206,9787,23438
1423,248805,32594,41984,141792,22159,44345,130722,10350,39248,77450,8890,22846,75513,6998,25644,110382,8719,46490,100721,6366,27598,102226,5577,26791,58324,4641,21805,44602,6532,19832,74104,10099,30470,98937,10210,23285
1424,248037,32805,42540,140821,22153,45323,131051,10385,38884,77807,8689,22690,75448,7284,25422,109838,9415,46338,101039,6179,27466,102646,5148,26800,58283,4892,21597,45409,6342,19214,74129,9907,30637,98032,10937,23463
1425,248520,32970,41892,141839,21960,44497,130067,10379,39873,77539,8644,23003,75944,7048,25162,110222,9591,45778,99501,7567,27615,102900,5389,26305,58549,4799,21423,45662,6148,19156,74272,10553,29848,99310,9358,23764
1426,248875,32050,42457,142089,21891,44316,130328,9808,40185,77269,8671,23246,74914,6784,26456,110758,8783,46051,100110,7030,27544,102411,5254,26928,59015,4706,21050,45867,6279,18820,73818,10550,30305,98564,10338,23530
1427,247039,33735,42608,142513,21435,44348,131800,9430,39090,77615,8842,22730,76273,6973,24908,109688,9217,46686,100067,6769,27847,102739,5520,26334,58651,4275,21845,45135,6168,19662,73880,10276,30517,98773,10886,22773
1428,247736,32983,42664,142938,20919,44439,131277,10347,38696,77613,8298,23275,76138,7051,24964,110220,9577,45794,101365,6769,26550,102678,5284,26633,58896,4282,21592,44908,6474,19584,72960,10148,31565,99451,10156,22825
1429,247643,33129,42610,141742,21866,44688,131077,9841,39401,77345,8684,23157,75616,7453,25085,111037,9472,45082,101078,6748,26858,102876,5355,26363,58589,4627,21554,45680,6271,19015,73931,10235,30507,97855,10319,24257
1430,249470,32256,41656,142815,21894,43587,130691,10034,39595,77487,8740,22959,74710,7175,26269,110169,9632,45790,100471,7218,26995,102994,5340,26260,58901,4537,21334,45305,6518,19143,73450,10507,30717,99035,10340,23057
1431,246635,33119,43628,143456,21776,43064,130867,10036,39417,77531,8624,23031,75931,6951,25272,109467,9342,46782,100444,6547,27693,103137,5363,26095,59114,4641,21016,45043,6716,19207,73749,10228,30696,98938,10341,23154
1432,246977,32850,43554,141683,21827,44786,130068,10282,39970,76828,8982,23376,76104,6729,25321,110234,9406,45951,100364,6762,27559,103062,5520,26012,58188,4416,22167,45674,6209,19082,74106,10316,30251,99502,10498,22433
1433,247574,32608,43199,142466,21744,44085,130033,10394,39893,77124,8651,23410,75718,7376,25059,109773,9401,46417,100877,6475,27331,101702,5260,27632,58435,4552,21784,44782,6605,19579,74163,10313,30197,99242,9958,23232
1434,247485,33191,42706,142556,21726,44014,131313,10375,38631,76725,8896,23565,75566,6852,25736,109375,9427,46789,100004,6881,27799,102805,5529,26260,58658,4421,21692,44726,6215,20026,74747,9749,30176,99704,9828,22900
1435,248385,33850,41147,141326,22445,44525,130306,9907,40108,77355,8603,23228,75571,6983,25600,110413,9474,45704,100997,6902,26785,102406,5336,26852,58805,4403,21562,45442,6525,18999,73908,10453,30312,99186,10411,22835
1436,249154,33014,41214,142523,21533,44240,131043,10022,39255,77749,8462,22975,76165,7074,24916,109960,9807,45824,99980,6592,28112,102324,5809,26462,59831,4336,20603,45320,6712,18934,73990,10461,30222,98861,9844,23727
1437,248214,32482,42686,143591,21408,43297,131259,10128,38933,77456,8502,23228,76007,6949,25198,110799,9361,45430,99406,7225,28053,103114,5950,25530,58649,4291,21831,45439,6088,19439,74170,9923,30580,99571,9692,23169
1438,245861,33906,43615,141926,21028,45343,130111,9965,40244,77292,8478,23416,75756,7054,25345,109120,9660,46811,100751,6712,27221,103097,5134,26363,58828,4458,21485,45588,6375,19003,74084,9971,30619,99474,9624,23334
1439,247837,32666,42879,142669,22049,43578,130193,9987,40140,76252,8908,24027,76566,6872,24715,109868,9372,46351,100697,6919,27068,102177,5748,26670,58570,4378,21823,45201,6357,19408,73897,10230,30545,98381,10435,23616
1440,246795,33902,42685,142887,21598,43811,130961,9586,39773,77788,8650,22748,76639,6880,24636,111221,9260,45110,99811,6843,28030,102379,5693,26522,58918,4387,21466,45449,6463,19054,73600,10594,30480,98808,9891,23733
1441,248024,32688,42670,143429,21181,43687,130265,9595,40460,77121,8806,23259,75173,7110,25871,110825,9437,45329,101294,6712,26679,102264,5376,26954,58427,4506,21838,45277,6150,19538,74654,10188,29831,99065,9834,23533
1442,246308,33503,43571,142616,22060,43620,130302,9959,40058,77468,9071,22646,74734,6892,26528,109933,9000,46658,100658,6290,27735,103084,5481,26029,59523,4040,21209,44867,6656,19443,73480,10683,30509,99453,10138,22841
1443,247102,33728,42553,142780,22664,42852,130788,10100,39432,78009,8558,22619,75943,6511,25699,109904,9761,45926,100553,6452,27679,103410,5514,25670,57588,4695,22488,45570,6226,19170,73782,10087,30804,99535,10326,22571
1444,248277,32976,42130,142050,22450,43796,131765,10042,38513,76964,8842,23381,75403,6665,26086,110623,8948,46020,99987,7380,27317,102657,5495,26442,58583,4549,21638,45130,6645,19191,74221,10615,29837,98141,10142,24149
1445,247225,32642,43514,142213,22328,43755,131812,9960,38548,76357,8772,24056,75514,7395,25245,110624,9608,45359,98362,8105,28217,102323,5336,26934,58738,4316,21717,45471,6753,18743,74597,10212,29864,99033,9948,23452
1446,247493,32860,43029,143287,21305,43704,129917,10068,40334,77161,8936,23089,75449,7391,25314,111641,9719,44231,101317,6889,26478,103154,5022,26418,58312,4512,21947,45501,6568,18897,73196,10750,30727,99211,10306,22915
1447,248563,33385,41434,142125,21404,44766,131115,9958,39247,77833,9196,22158,75934,7090,25129,109946,9053,46592,100457,6333,27894,102205,5553,26836,58906,4206,21659,45378,6151,19437,72946,9988,31738,98417,9872,24143
1448,246965,33545,42872,141890,21731,44675,131076,10452,38792,77794,8831,22561,75663,6989,25503,110140,10000,45451,99494,7000,28190,101403,5770,27421,58687,4550,21535,45199,6425,19342,73652,10101,30920,99984,10394,22054
1449,248356,32389,42638,142991,21229,44076,130715,10273,39332,77405,8898,22883,76204,6847,25103,109940,9534,46117,99743,6688,28253,102886,5298,26411,58617,4781,21373,45075,6649,19242,73761,10484,30427,98754,10480,23199
1450,249776,32173,41434,142454,22257,43585,131282,10554,38484,77299,8707,23180,74930,6994,26230,111088,9549,44954,100338,6719,27627,102702,5482,26410,59266,4309,21195,45089,6331,19545,74546,9433,30693,99411,9942,23079
1451,249094,32389,41899,140984,22335,44977,130545,10426,39349,77447,8668,23071,76232,7094,24828,111079,9182,45330,99881,6631,28172,101876,5240,27478,58596,5155,21019,45850,5964,19153,74327,10471,29875,99094,9518,23821
1452,247648,32831,42902,141693,22380,44223,131018,10241,39060,77390,8816,22979,75804,6894,25456,110637,9444,45510,100158,6648,27878,103185,5457,25952,58883,5085,20803,45557,6315,19095,73801,10291,30581,99035,10140,23256
1453,248421,33074,41887,141738,22277,44281,131318,9873,39128,77923,8583,22680,75380,6970,25804,110356,9939,45296,99815,6790,28079,101679,5878,27036,58886,4583,21302,45844,6038,19084,74121,10236,30315,98321,9997,24114
1454,246166,34135,43081,142727,22342,43227,130745,9821,39754,77692,8884,22610,75811,7185,25158,110291,9716,45585,100106,7134,27444,102618,5315,26661,58928,4660,21183,45267,6450,19250,74045,10334,30294,99581,9442,23409
1455,248796,31721,42865,142517,21265,44514,131045,9989,39286,77914,8458,22814,75998,6816,25340,109650,9256,46685,101325,7097,26262,103734,5508,25351,59026,4594,21151,45603,6445,18918,73242,10331,31100,98740,9998,23694
1456,248499,32934,41950,142867,21676,43753,130935,10005,39380,77207,8944,23035,75774,7026,25354,110990,9386,45214,99610,7125,27949,102453,5314,26827,58581,4605,21584,45619,6300,19047,74403,10252,30017,99508,9969,22955
1457,246604,33134,43644,142870,21159,44267,129699,10134,40487,76712,8922,23552,75641,6719,25793,110589,9750,45252,99565,7154,27965,102402,5822,26370,58581,4789,21401,45489,6368,19109,73920,10379,30374,99525,10131,22776
1458,247076,33394,42912,142445,21811,44040,131533,9881,38907,76997,8921,23268,76064,6562,25529,109574,9614,46402,101090,6991,26603,102313,5306,26975,58389,4553,21829,44899,6315,19752,74059,10554,30061,98288,9795,24349
1459,246963,33283,43136,142620,21758,43918,131552,9887,38881,77488,9165,22533,76626,6797,24731,110341,9269,45982,100425,6632,27628,103509,5158,25926,58450,4982,21340,45062,6540,19364,74383,9936,30354,100006,9846,22580
1460,248082,32267,43033,141059,21614,45623,130376,9912,40032,77631,8490,23066,76246,6809,25099,110256,9725,45610,99641,6823,28220,103074,5440,26080,58636,4519,21617,45956,6030,18980,74414,9890,30369,99079,10322,23031
1461,248342,33133,41907,142222,22265,43809,131067,10488,38765,77223,8606,23357,75034,7213,25908,108884,9302,47405,101438,6156,27090,103111,5483,26000,58640,4357,21774,44901,6463,19603,74855,9718,30100,99233,9492,23707
1462,248071,33021,42290,141264,21625,45407,131017,10480,38823,77649,7996,23541,76087,6732,25335,110551,9224,45815,99681,7109,27894,103249,5285,26060,58380,4674,21717,45601,6533,18832,73987,10480,30206,99296,10074,23062
1463,246916,33718,42748,141810,22021,44464,129777,10700,39843,77139,8263,23784,76172,6691,25291,110571,9345,45675,100715,6791,27178,101883,5311,27400,59202,4204,21366,45758,6292,18916,74411,9928,30334,98220,10417,23795
1464,246813,33840,42729,142275,21660,44361,129726,10357,40237,76714,8859,23614,75769,7035,25350,109731,9557,46303,100456,6688,27540,102082,5767,26745,58488,4541,21741,44899,6673,19394,74377,10309,29987,99265,9880,23287
1465,248635,33215,41531,143031,21352,43913,130124,10456,39739,77348,8648,23189,76216,7053,24885,110692,8932,45968,99748,7396,27540,102572,5394,26629,59226,4685,20861,46076,6227,18663,74203,10293,30177,99380,10145,22907
1466,248769,32512,42101,142099,22302,43895,131895,9438,38988,77327,8863,22997,76222,7076,24856,109173,9127,47291,101520,6606,26558,102709,5475,26409,58378,4496,21897,45312,6682,18972,74025,10758,29889,98949,10109,23375
1467,248069,32919,42393,141179,22428,44689,130539,10161,39620,77576,8656,22954,75469,7273,25411,109497,9603,46491,100875,6524,27285,101990,5184,27420,58979,4579,21212,45656,6464,18846,74215,10261,30198,97797,9766,24870
1468,247183,32952,43247,143344,21588,43363,131597,9779,38945,77640,8579,22967,76114,6873,25168,111784,9601,44206,99971,7610,27103,101938,5447,27210,58892,4703,21176,45837,6159,18970,74583,9880,30210,98844,9803,23785
1469,247729,33256,42397,142705,21276,44315,130853,10350,39117,76903,8736,23547,76070,6512,25571,109797,9947,45847,101410,6867,26407,103036,5252,26305,58939,4060,21772,45324,6005,19636,74184,10610,29879,98419,10087,23926
1470,247153,33197,43033,142087,22176,44033,129714,10504,40103,77865,8663,22658,76769,7064,24321,109690,9760,46141,100356,7211,27117,102578,5275,26741,58144,4757,21869,45416,6502,19048,73747,10082,30844,98862,10212,23358
1471,247374,33194,42815,141888,22179,44229,130488,10260,39572,76856,8914,23416,75474,6908,25772,110683,9164,45744,100739,6677,27268,102268,5718,26608,59260,4285,21226,44893,6670,19404,73936,10452,30285,98587,10008,23837
1472,247480,32682,43221,141637,21539,45119,130923,9949,39448,76476,9233,23476,75051,6735,26368,110935,9241,45416,99043,6950,28692,102986,5408,26201,58000,4719,22052,45345,6222,19399,74078,10311,30284,98114,10575,23743
1473,247188,33730,42464,142119,21547,44629,131754,10069,38498,77727,8611,22848,76359,6856,24940,110638,9629,45324,99407,7380,27897,101517,5916,27161,58897,4640,21234,45205,6187,19574,73311,10568,30794,99665,9327,23440
1474,248398,32131,42853,141478,22974,43843,131224,9886,39210,77395,8722,23068,75458,7203,25493,109562,9591,46438,99023,7470,28191,103390,5422,25782,58378,4972,21421,45147,6168,19651,74342,9748,30583,99010,9958,23464
1475,248213,33555,41615,141496,22169,44631,130005,9610,40706,77438,8315,23434,76599,6925,24631,110335,9316,45940,100083,6978,27623,103112,5178,26304,58376,4474,21920,45163,6288,19515,74971,9750,29952,99379,9880,23173
1476,247422,33567,42394,142632,21650,44014,130944,9533,39843,77469,8578,23139,75753,7173,25228,111219,9025,45347,99624,6613,28447,102118,5612,26864,59195,4974,20602,45459,6255,19252,74792,10522,29359,98977,10157,23298
1477,247981,33338,42063,142808,21848,43640,130125,10059,40137,77002,8933,23251,76180,6803,25171,109482,9635,46473,100677,6380,27627,101971,5578,27045,58753,4503,21514,45203,6266,19497,75102,10289,29283,98133,10599,23700
1478,248797,32650,41935,142779,21541,43976,130921,10037,39361,77749,8696,22741,75923,6943,25287,110923,8959,45709,100457,6882,27345,101998,5441,27155,58062,4466,22242,45507,6081,19378,74912,10640,29121,98796,10457,23179
1479,246707,32889,43786,143054,21694,43547,130899,9732,39690,77442,8714,23030,76275,6950,24929,111511,9573,44507,99882,6508,28294,102845,5401,26348,58152,4798,21821,45478,6352,19136,73943,9952,30778,98546,10609,23277
1480,248026,32180,43176,142283,21645,44368,130978,9996,39347,77586,9201,22399,76500,6474,25180,110651,9171,45768,98281,7070,29332,102066,5511,27017,58996,4213,21562,45586,6351,19029,74920,9802,29951,98981,9857,23594
1481,247443,32590,43349,141849,22493,43954,130293,10220,39807,77233,8944,23009,76187,6849,25118,111891,8972,44729,99456,7252,27976,102185,5311,27099,58435,4503,21832,45301,6413,19252,74109,9712,30852,99435,9903,23094
