Ladder,Species,Date,Window Count Hours,Period,Rear Type,Tag Stage,TagID,Coil,Detection DateTime,TravelTime,Weir Detection,WD Hours,WD Date,TagID Ascent Count,Same Day,Previous Weir Detect,Previous Hours,Previous Days,Previous Date,Release Year,Release DateTime,Run,Length,Capture Method,Flag Codes,Release Site,Tag File
GRA,3,2010.10.20,0400-2000,D,H,J,3D9.1C2C3C3816,18,2010-10-20 13:00:16,909.7,Y,3.59,2010.10.20 17:35:47,,,,,,,2008,2008-04-23 20:00:00,2,250,BPRCOL,,LGRRRR,WDM08113.CS2
GRA,3,2010.10.20,0400-2000,D,H,J,3D9.1C2C3C3816,16,2010-10-20 13:00:16,909.7,Y,3.59,2010.10.20 17:35:47,,,,,,,2008,2008-04-23 20:00:00,2,250,BPRCOL,,LGRRRR,WDM08113.CS2
GRA,3,2010.10.20,0400-2000,D,H,J,3D9.1C2C3C3816,14,2010-10-20 13:00:17,909.7,Y,3.59,2010.10.20 17:35:47,,,,,,,2008,2008-04-23 20:00:00,2,250,BPRCOL,,LGRRRR,WDM08113.CS2
GRA,3,2010.10.20,0400-2000,D,H,J,3D9.1C2C3C3816,12,2010-10-20 13:00:17,909.7,Y,3.59,2010.10.20 17:35:47,,,,,,,2008,2008-04-23 20:00:00,2,250,BPRCOL,,LGRRRR,WDM08113.CS2
GRA,3,2010.10.09,0400-2000,N,W,J,3D9.1BF26F005E,18,2010-10-09 01:32:07,893.2,Y,1.63,2010.10.09 04:10:11,,,,,,,2008,2008-04-28 20:00:00,2,187,BPRCOL,,LGRRBR,DMM08117.SK4
GRA,3,2010.10.09,0400-2000,N,W,J,3D9.1BF26F005E,16,2010-10-09 01:32:07,893.2,Y,1.63,2010.10.09 04:10:11,,,,,,,2008,2008-04-28 20:00:00,2,187,BPRCOL,,LGRRBR,DMM08117.SK4
GRA,3,2010.10.09,0400-2000,N,W,J,3D9.1BF26F005E,14,2010-10-09 01:32:07,893.2,Y,1.63,2010.10.09 04:10:11,,,,,,,2008,2008-04-28 20:00:00,2,187,BPRCOL,,LGRRBR,DMM08117.SK4
GRA,3,2010.10.09,0400-2000,N,W,J,3D9.1BF26F005E,12,2010-10-09 01:32:07,893.2,Y,1.63,2010.10.09 04:10:11,,,,,,,2008,2008-04-28 20:00:00,2,187,BPRCOL,,LGRRBR,DMM08117.SK4
GRA,3,2010.10.25,0400-2000,D,W,J,3D9.1BF27A0924,18,2010-10-25 05:28:52,540.8,Y,1.89,2010.10.25 08:21:58,,,,,,,2009,2009-05-02 10:00:00,2,174,BPRCOL,,LGRRBR,DMM09120.TP1
GRA,3,2010.10.25,0400-2000,D,W,J,3D9.1BF27A0924,16,2010-10-25 05:28:52,540.8,Y,1.89,2010.10.25 08:21:58,,,,,,,2009,2009-05-02 10:00:00,2,174,BPRCOL,,LGRRBR,DMM09120.TP1
GRA,3,2010.10.25,0400-2000,D,W,J,3D9.1BF27A0924,14,2010-10-25 05:28:53,540.8,Y,1.89,2010.10.25 08:21:58,,,,,,,2009,2009-05-02 10:00:00,2,174,BPRCOL,,LGRRBR,DMM09120.TP1
GRA,3,2010.10.25,0400-2000,D,W,J,3D9.1BF27A0924,12,2010-10-25 05:28:53,540.8,Y,1.89,2010.10.25 08:21:58,,,,,,,2009,2009-05-02 10:00:00,2,174,BPRCOL,,LGRRBR,DMM09120.TP1
GRA,3,2010.10.15,0400-2000,D,H,J,3D9.1C2C405825,18,2010-10-15 13:36:52,919.2,Y,1.80,2010.10.15 16:25:03,,,,,,,2008,2008-04-09 09:00:00,2,,DIPNET,AD,BCANF,BCJ07340.A19
GRA,3,2010.10.15,0400-2000,D,H,J,3D9.1C2C405825,16,2010-10-15 13:36:52,919.2,Y,1.80,2010.10.15 16:25:03,,,,,,,2008,2008-04-09 09:00:00,2,,DIPNET,AD,BCANF,BCJ07340.A19
GRA,3,2010.10.15,0400-2000,D,H,J,3D9.1C2C405825,14,2010-10-15 13:36:53,919.2,Y,1.80,2010.10.15 16:25:03,,,,,,,2008,2008-04-09 09:00:00,2,,DIPNET,AD,BCANF,BCJ07340.A19
GRA,3,2010.10.15,0400-2000,D,H,J,3D9.1C2C405825,12,2010-10-15 13:36:53,919.2,Y,1.80,2010.10.15 16:25:03,,,,,,,2008,2008-04-09 09:00:00,2,,DIPNET,AD,BCANF,BCJ07340.A19
GRA,3,2010.09.05,0400-2000,D,H,J,3D9.1C2CE5BABA,18,2010-09-05 07:29:27,519.7,Y,1.64,2010.09.05 10:08:00,,,,,,,2009,2009-04-03 13:30:00,2,,DIPNET,AD,LSALR,BDL09012.N23
GRA,3,2010.09.05,0400-2000,D,H,J,3D9.1C2CE5BABA,16,2010-09-05 07:29:27,519.7,Y,1.64,2010.09.05 10:08:00,,,,,,,2009,2009-04-03 13:30:00,2,,DIPNET,AD,LSALR,BDL09012.N23
GRA,3,2010.09.05,0400-2000,D,H,J,3D9.1C2CE5BABA,14,2010-09-05 07:29:27,519.7,Y,1.64,2010.09.05 10:08:00,,,,,,,2009,2009-04-03 13:30:00,2,,DIPNET,AD,LSALR,BDL09012.N23
GRA,3,2010.09.05,0400-2000,D,H,J,3D9.1C2CE5BABA,12,2010-09-05 07:29:27,519.7,Y,1.64,2010.09.05 10:08:00,,,,,,,2009,2009-04-03 13:30:00,2,,DIPNET,AD,LSALR,BDL09012.N23
GRA,3,2010.09.29,0400-2000,D,H,J,3D9.1C2CE2BB60,18,2010-09-29 16:45:52,534.1,Y,1.39,2010.09.29 19:09:31,,,,,,,2009,2009-04-13 14:30:00,2,,DIPNET,AD,WALH,BCJ09014.T10
