Ladder,Species,Date,Window Count Hours,Period,Rear Type,Tag Stage,TagID,Coil,Detection DateTime,TravelTime,Weir Detection,WD Hours,WD Date,TagID Ascent Count,Same Day,Previous Weir Detect,Previous Hours,Previous Days,Previous Date,Release Year,Release DateTime,Run,Length,Capture Method,Flag Codes,Release Site,Tag File
GRA,3,2012.10.07,0400-2000,D,H,J,3D9.1C2D9C6090,18,2012-10-07 13:53:42,533.1,Y,0.89,2012.10.07 15:47:17,,,,,,,2011,2011-04-23 11:10:00,2,241,DIPTRP,AD,SNKTRP,EWB11113.SNK
GRA,3,2012.10.07,0400-2000,D,H,J,3D9.1C2D9C6090,16,2012-10-07 13:53:43,533.1,Y,0.89,2012.10.07 15:47:17,,,,,,,2011,2011-04-23 11:10:00,2,241,DIPTRP,AD,SNKTRP,EWB11113.SNK
GRA,3,2012.10.07,0400-2000,D,H,J,3D9.1C2D9C6090,14,2012-10-07 13:53:43,533.1,Y,0.89,2012.10.07 15:47:17,,,,,,,2011,2011-04-23 11:10:00,2,241,DIPTRP,AD,SNKTRP,EWB11113.SNK
GRA,3,2012.10.07,0400-2000,D,H,J,3D9.1C2D9C6090,12,2012-10-07 13:53:43,533.1,Y,0.89,2012.10.07 15:47:17,,,,,,,2011,2011-04-23 11:10:00,2,241,DIPTRP,AD,SNKTRP,EWB11113.SNK
GRA,3,2012.09.27,0400-2000,D,H,J,3D9.1C2D7E6B9F,18,2012-09-27 08:37:16,540.9,Y,1.01,2012.09.27 10:37:48,,,,,,,2011,2011-04-05 12:00:00,2,,DIPNET,AD CW,SALR3,BDL11005.V43
GRA,3,2012.09.27,0400-2000,D,H,J,3D9.1C2D7E6B9F,16,2012-09-27 08:37:16,540.9,Y,1.01,2012.09.27 10:37:48,,,,,,,2011,2011-04-05 12:00:00,2,,DIPNET,AD CW,SALR3,BDL11005.V43
GRA,3,2012.09.27,0400-2000,D,H,J,3D9.1C2D7E6B9F,14,2012-09-27 08:37:16,540.9,Y,1.01,2012.09.27 10:37:48,,,,,,,2011,2011-04-05 12:00:00,2,,DIPNET,AD CW,SALR3,BDL11005.V43
GRA,3,2012.09.27,0400-2000,D,H,J,3D9.1C2D7E6B9F,12,2012-09-27 08:37:17,540.9,Y,1.01,2012.09.27 10:37:48,,,,,,,2011,2011-04-05 12:00:00,2,,DIPNET,AD CW,SALR3,BDL11005.V43
GRA,3,2012.09.28,0400-2000,D,W,J,3D9.1BF2768CB2,18,2012-09-28 08:25:13,862.9,Y,1.31,2012.09.28 10:44:03,,,,,,,2010,2010-05-19 10:00:00,2,180,BPRCOL,,LGRRBR,DMM10138.TP1
GRA,3,2012.09.28,0400-2000,D,W,J,3D9.1BF2768CB2,16,2012-09-28 08:25:13,862.9,Y,1.31,2012.09.28 10:44:03,,,,,,,2010,2010-05-19 10:00:00,2,180,BPRCOL,,LGRRBR,DMM10138.TP1
