Ladder,Species,Date,Window Count Hours,Period,Rear Type,Tag Stage,TagID,Coil,Detection DateTime,TravelTime,Weir Detection,WD Hours,WD Date,TagID Ascent Count,Same Day,Previous Weir Detect,Previous Hours,Previous Days,Previous Date,Release Year,Release DateTime,Run,Length,Capture Method,Flag Codes,Release Site,Tag File
GRA,3,2015.10.08,0400-2000,D,H,J,3D9.1C2E04F96E,18,2015-10-08 07:47:52,539.0,Y,2.20,2015.10.08 10:59:44,,,,,,,2014,2014-04-17 07:00:00,2,219,BPRCOL,AI <2 EF DF,LGRRRR,SRV14106.SR0
GRA,3,2015.10.08,0400-2000,D,H,J,3D9.1C2E04F96E,16,2015-10-08 07:47:53,539.0,Y,2.20,2015.10.08 10:59:44,,,,,,,2014,2014-04-17 07:00:00,2,219,BPRCOL,AI <2 EF DF,LGRRRR,SRV14106.SR0
GRA,3,2015.10.08,0400-2000,D,H,J,3D9.1C2E04F96E,14,2015-10-08 07:47:53,539.0,Y,2.20,2015.10.08 10:59:44,,,,,,,2014,2014-04-17 07:00:00,2,219,BPRCOL,AI <2 EF DF,LGRRRR,SRV14106.SR0
GRA,3,2015.10.08,0400-2000,D,H,J,3D9.1C2E04F96E,12,2015-10-08 07:47:53,539.0,Y,2.20,2015.10.08 10:59:44,,,,,,,2014,2014-04-17 07:00:00,2,219,BPRCOL,AI <2 EF DF,LGRRRR,SRV14106.SR0
GRA,3,2015.09.25,0400-2000,D,W,J,3D9.1C2DFFEF71,18,2015-09-25 07:23:35,868.5,Y,1.36,2015.09.25 09:44:56,,,,,,,2013,2013-05-09 20:30:00,2,143,SCREWT,,IMNTRP,IMN13128.NT1
GRA,3,2015.09.25,0400-2000,D,W,J,3D9.1C2DFFEF71,16,2015-09-25 07:23:35,868.5,Y,1.36,2015.09.25 09:44:56,,,,,,,2013,2013-05-09 20:30:00,2,143,SCREWT,,IMNTRP,IMN13128.NT1
GRA,3,2015.09.25,0400-2000,D,W,J,3D9.1C2DFFEF71,14,2015-09-25 07:23:35,868.5,Y,1.36,2015.09.25 09:44:56,,,,,,,2013,2013-05-09 20:30:00,2,143,SCREWT,,IMNTRP,IMN13128.NT1
GRA,3,2015.09.25,0400-2000,D,W,J,3D9.1C2DFFEF71,12,2015-09-25 07:23:35,868.5,Y,1.36,2015.09.25 09:44:56,,,,,,,2013,2013-05-09 20:30:00,2,143,SCREWT,,IMNTRP,IMN13128.NT1
GRA,3,2015.10.04,0400-2000,D,U,A,3DD.00775D6695,18,2015-10-04 06:12:24,58.8,Y,0.91,2015.10.04 08:07:10,,,,,,,2015,2015-08-06 12:00:00,2,625,LADDER,MT AT AI RF,BONAFF,JKF15218.AFF
GRA,3,2015.10.04,0400-2000,D,U,A,3DD.00775D6695,16,2015-10-04 06:12:24,58.8,Y,0.91,2015.10.04 08:07:10,,,,,,,2015,2015-08-06 12:00:00,2,625,LADDER,MT AT AI RF,BONAFF,JKF15218.AFF
