Ladder,Species,Date,Window Count Hours,Period,Rear Type,Tag Stage,TagID,Coil,Detection DateTime,TravelTime,Weir Detection,WD Hours,WD Date,TagID Ascent Count,Same Day,Previous Weir Detect,Previous Hours,Previous Days,Previous Date,Release Year,Release DateTime,Run,Length,Capture Method,Flag Codes,Release Site,Tag File
GRA,1,2013.05.18,0400-2000,D,U,A,3D9.1C2DE916BE,18,2013-05-18 10:03:41,10.9,Y,1.10,2013.05.18 12:09:52,,,,,,,2013,2013-05-07 12:00:00,5,550,LADDER,AT JA AD RF,BONAFF,JKF13127.AFF
GRA,1,2013.05.18,0400-2000,D,U,A,3D9.1C2DE916BE,16,2013-05-18 10:03:41,10.9,Y,1.10,2013.05.18 12:09:52,,,,,,,2013,2013-05-07 12:00:00,5,550,LADDER,AT JA AD RF,BONAFF,JKF13127.AFF
GRA,1,2013.05.18,0400-2000,D,U,A,3D9.1C2DE916BE,14,2013-05-18 10:03:42,10.9,Y,1.10,2013.05.18 12:09:52,,,,,,,2013,2013-05-07 12:00:00,5,550,LADDER,AT JA AD RF,BONAFF,JKF13127.AFF
GRA,1,2013.05.18,0400-2000,D,U,A,3D9.1C2DE916BE,12,2013-05-18 10:03:42,10.9,Y,1.10,2013.05.18 12:09:52,,,,,,,2013,2013-05-07 12:00:00,5,550,LADDER,AT JA AD RF,BONAFF,JKF13127.AFF
GRA,1,2013.05.12,0400-2000,D,U,A,3D9.1C2DE8FA59,18,2013-05-12 12:35:07,13.0,Y,1.29,2013.05.12 14:52:39,,,,,,,2013,2013-04-29 12:00:00,5,770,LADDER,MT AT AD RF,BONAFF,JKF13119.AFF
GRA,1,2013.05.12,0400-2000,D,U,A,3D9.1C2DE8FA59,16,2013-05-12 12:35:08,13.0,Y,1.29,2013.05.12 14:52:39,,,,,,,2013,2013-04-29 12:00:00,5,770,LADDER,MT AT AD RF,BONAFF,JKF13119.AFF
GRA,1,2013.05.12,0400-2000,D,U,A,3D9.1C2DE8FA59,14,2013-05-12 12:35:08,13.0,Y,1.29,2013.05.12 14:52:39,,,,,,,2013,2013-04-29 12:00:00,5,770,LADDER,MT AT AD RF,BONAFF,JKF13119.AFF
GRA,1,2013.05.12,0400-2000,D,U,A,3D9.1C2DE8FA59,12,2013-05-12 12:35:08,13.0,Y,1.29,2013.05.12 14:52:39,,,,,,,2013,2013-04-29 12:00:00,5,770,LADDER,MT AT AD RF,BONAFF,JKF13119.AFF
GRA,1,2013.09.27,0400-2000,D,W,J,3D9.1C2D5E0748,18,2013-09-27 06:16:29,1227.6,N,,,,,,,,,2010,2010-05-18 15:06:00,5,61,BSEINE,,SNAKE3,WPC10138.250
GRA,1,2013.09.27,0400-2000,D,W,J,3D9.1C2D5E0748,16,2013-09-27 06:16:29,1227.6,N,,,,,,,,,2010,2010-05-18 15:06:00,5,61,BSEINE,,SNAKE3,WPC10138.250
GRA,1,2013.09.27,0400-2000,D,W,J,3D9.1C2D5E0748,14,2013-09-27 06:16:29,1227.6,N,,,,,,,,,2010,2010-05-18 15:06:00,5,61,BSEINE,,SNAKE3,WPC10138.250
GRA,1,2013.09.27,0400-2000,D,W,J,3D9.1C2D5E0748,12,2013-09-27 06:16:29,1227.6,N,,,,,,,,,2010,2010-05-18 15:06:00,5,61,BSEINE,,SNAKE3,WPC10138.250
GRA,1,2013.09.27,0400-2000,D,H,J,3D9.1C2D93D513,18,2013-09-27 11:03:01,859.0,N,,,,,,,,,2011,2011-05-22 12:00:00,3,70,DIPNET,,CJRAP,BDA11103.30C
GRA,1,2013.09.27,0400-2000,D,H,J,3D9.1C2D93D513,16,2013-09-27 11:03:01,859.0,N,,,,,,,,,2011,2011-05-22 12:00:00,3,70,DIPNET,,CJRAP,BDA11103.30C
GRA,1,2013.09.27,0400-2000,D,H,J,3D9.1C2D93D513,14,2013-09-27 11:03:01,859.0,N,,,,,,,,,2011,2011-05-22 12:00:00,3,70,DIPNET,,CJRAP,BDA11103.30C
GRA,1,2013.09.27,0400-2000,D,H,J,3D9.1C2D93D513,12,2013-09-27 11:03:01,859.0,N,,,,,,,,,2011,2011-05-22 12:00:00,3,70,DIPNET,,CJRAP,BDA11103.30C
GRA,1,2013.09.25,0400-2000,D,H,J,3D9.1C2D4AC1D6,18,2013-09-25 07:57:40,531.0,Y,2.61,2013.09.25 11:34:19,,,,,,,2012,2012-04-12 08:00:00,3,119,DIPNET,CW AD,BCCAP,BDA12012.L16
GRA,1,2013.09.25,0400-2000,D,H,J,3D9.1C2D4AC1D6,16,2013-09-25 07:57:40,531.0,Y,2.61,2013.09.25 11:34:19,,,,,,,2012,2012-04-12 08:00:00,3,119,DIPNET,CW AD,BCCAP,BDA12012.L16
GRA,1,2013.09.25,0400-2000,D,H,J,3D9.1C2D4AC1D6,14,2013-09-25 07:57:40,531.0,Y,2.61,2013.09.25 11:34:19,,,,,,,2012,2012-04-12 08:00:00,3,119,DIPNET,CW AD,BCCAP,BDA12012.L16
GRA,1,2013.09.25,0400-2000,D,H,J,3D9.1C2D4AC1D6,12,2013-09-25 07:57:40,531.0,Y,2.61,2013.09.25 11:34:19,,,,,,,2012,2012-04-12 08:00:00,3,119,DIPNET,CW AD,BCCAP,BDA12012.L16
GRA,1,2013.07.01,0400-2000,D,W,J,3D9.1C2DDAF568,18,2013-07-01 13:44:59,464.1,Y,21.82,2013.07.02 12:34:20,,,,,,,2012,2012-03-24 11:15:00,5,96,SCOTRP,,SALTRP,EWB12084.SAL
GRA,1,2013.07.01,0400-2000,D,W,J,3D9.1C2DDAF568,12,2013-07-01 13:45:00,464.1,Y,21.82,2013.07.02 12:34:20,,,,,,,2012,2012-03-24 11:15:00,5,96,SCOTRP,,SALTRP,EWB12084.SAL
GRA,1,2013.05.26,0400-2000,D,U,A,3D9.1C2DE907C5,18,2013-05-26 10:55:36,11.0,Y,0.87,2013.05.26 12:47:42,,,,,,,2013,2013-05-15 12:00:00,5,520,LADDER,AT JA AI RF,BONAFF,JKF13135.AFF
GRA,1,2013.05.26,0400-2000,D,U,A,3D9.1C2DE907C5,16,2013-05-26 10:55:36,11.0,Y,0.87,2013.05.26 12:47:42,,,,,,,2013,2013-05-15 12:00:00,5,520,LADDER,AT JA AI RF,BONAFF,JKF13135.AFF
